UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,OPEN,HIGH,LOW,CLOSE,FIRST_MESSAGE_TIMESTAMP,LAST_MESSAGE_TIMESTAMP,FIRST_MESSAGE_VALUE,HIGH_MESSAGE_VALUE,HIGH_MESSAGE_TIMESTAMP,LOW_MESSAGE_VALUE,LOW_MESSAGE_TIMESTAMP,LAST_MESSAGE_VALUE,TOTAL_INDEX_UPDATES,VOLUME,QUOTE_VOLUME,VOLUME_TOP_TIER,QUOTE_VOLUME_TOP_TIER,VOLUME_DIRECT,QUOTE_VOLUME_DIRECT,VOLUME_TOP_TIER_DIRECT,QUOTE_VOLUME_TOP_TIER_DIRECT
MINUTE,1749676500,267,cadli,BTC-USD,109221.028720702,109221.205977006,109103.150260338,109103.464721523,1749676500,1749676799,109221.04054155,109221.205977006,1749676500,109103.150260338,1749676797,109103.464721523,1408,297.826634498087,32494300.9035608,153.136877065,16701969.607694,44.96896948,4908376.33275415,41.17384022,4494149.88560998
MINUTE,1749676500,267,cadli,ETH-USD,2830.83428862447,2831.05664000198,2827.34673182584,2829.29462509188,1749676500,1749676799,2831.00836025927,2831.05664000198,1749676500,2827.34673182584,1749676683,2829.29462509188,1562,12620.44110068,35704471.3753043,7077.84472103,20022539.3658676,992.51672067,2808968.36887915,991.14603067,2805076.68650363
MINUTE,1749693300,267,cadli,BTC-USD,108488.450313275,108538.601597742,108468.08289749,108538.587075751,1749693300,1749693599,108488.449038229,108538.601597742,1749693593,108468.08289749,1749693467,108538.587075751,1273,298.527330106196,32389748.4748789,140.102656625,15200922.0639689,24.6450902,2674158.2392214,18.3437292,1990269.42852934
MINUTE,1749693300,267,cadli,ETH-USD,2773.12847425873,2776.65267267625,2772.93842850476,2776.51115451433,1749693300,1749693599,2773.11029997687,2776.65267267625,1749693575,2772.93842850476,1749693475,2776.51115451433,1451,8916.59151034498,24739656.0750139,5734.52098325999,15911108.2148571,1021.25224791,2833051.11668453,1020.26770666,2830317.6510197
MINUTE,1749693300,267,cadli,USDT-USD,1.00003754122499,1.00006390661393,1.00001942960789,1.0000507660453,1749693300,1749693597,1.00003754264593,1.00006390661393,1749693468,1.00001942960789,1749693387,1.0000507660453,149,1331326.47132771,1331068.60996774,1317883.47132771,1317575.31650374,1331326.47132771,1331068.60996774,1317883.47132771,1317575.31650374
MINUTE,1749693300,267,cadli,BNB-USD,668.676276689036,669.072845524769,668.626814982123,669.026203485631,1749693300,1749693599,668.676119007864,669.072845524769,1749693567,668.626814982123,1749693468,669.026203485631,566,3111.25825840834,2080931.35642875,2039.454676,1364039.82950595,3.194,2136.0195,0,0
MINUTE,1749693300,267,cadli,SOL-USD,160.151450805064,160.409246139403,160.149834371881,160.402767037852,1749693300,1749693599,160.149834371881,160.409246139403,1749693595,160.149834371881,1749693300,160.402767037852,835,25962.0717400423,4162021.26574709,18898.182599477,3029517.8078622,2886.17709223,462680.954206749,2875.51709223,460968.657106749
MINUTE,1749693300,267,cadli,STETH-USD,2769.74255255319,2772.63030555095,2768.5465597728,2770.73661465251,1749693300,1749693598,2769.72447009057,2772.63030555095,1749693412,2768.5465597728,1749693481,2770.73661465251,253,3.95269371811202,10924.3697629054,0.804749718112031,2231.36250077979,0,0,0,0
MINUTE,1749693300,267,cadli,XRP-USD,2.25514833993193,2.25986763841431,2.25514833993193,2.25918715597099,1749693300,1749693599,2.25514843425703,2.25986763841431,1749693558,2.25514843425703,1749693300,2.25918715597099,787,2601869.01924693,5874878.29007792,1180611.28458864,2666156.42743085,224432.64408582,506495.238507722,223404.94408582,504163.289371722
MINUTE,1749693300,267,cadli,USDC-USD,0.999731189347104,0.999755136910892,0.999670018530619,0.999744946678496,1749693300,1749693598,0.999730607999109,0.999755136910892,1749693475,0.999670018530619,1749693438,0.999744946678496,415,2268136.53563505,2267486.01019423,1915181.98659399,1914641.80563516,127370.35917194,127357.31247114,127345.35917194,127332.00209614
MINUTE,1749693300,267,cadli,DOGE-USD,0.19237731482344,0.192575765597075,0.19237731482344,0.192522794482181,1749693300,1749693599,0.192381694695479,0.192575765597075,1749693575,0.192381694695479,1749693300,0.192522794482181,584,9484256.13729943,1826206.81427241,4574715.51660738,880756.400832278,318135.71060537,61236.1644286014,314980.90060537,60623.1581193968
MINUTE,1749693300,267,cadli,TON-USD,3.21173508939191,3.21862953096931,3.21173508939191,3.21766242945587,1749693301,1749693598,3.21184990476811,3.21862953096931,1749693554,3.21184990476811,1749693301,3.21766242945587,322,165514.11483158,532400.679157038,39229.635258,126193.443872745,35.03681,112.59856691,35.03681,112.59856691
MINUTE,1749693300,267,cadli,ADA-USD,0.696750635979393,0.697783409223477,0.69674622484623,0.697584052943971,1749693301,1749693598,0.696757064127672,0.697783409223477,1749693574,0.69674622484623,1749693352,0.697584052943971,433,723220.718969946,504436.358830422,215515.42851788,150291.174258126,36950.49520932,25762.4141944662,34657.72816411,24161.4729587281
MINUTE,1749693300,267,cadli,AVAX-USD,21.464207323423,21.5028922985342,21.464207323423,21.4899334235549,1749693301,1749693599,21.4645130944074,21.5028922985342,1749693421,21.4643043601539,1749693301,21.4899334235549,480,31129.8992626574,669032.894281909,8649.20352361,185923.217630947,692.408084189999,14880.4184996421,692.408084189999,14880.4184996421
